id,price
0,6.2
1,8.5
2,9.5
3,7.8
4,8.9
5,8.0
6,7.0
7,6.9
8,6.2
9,6.7
10,9.5
11,7.4
12,8.4
13,8.3
14,6.5
15,7.2
16,7.7
17,6.3
18,9.3
19,9.1
20,6.7
21,8.9
22,9.5
23,6.7
24,9.2
25,7.1
26,7.1
27,9.7
28,8.1
29,8.5
30,6.8
31,8.4
32,8.4
33,6.2
34,9.7
35,8.4
36,9.1
37,7.7
38,9.4
39,9.7
40,9.2
41,8.5
42,7.1
43,8.4
44,7.4
45,6.3
46,6.2
47,9.5
48,8.9
49,8.6
50,7.5
51,7.1
52,7.9
53,7.8
54,7.0
55,6.7
56,8.9
57,9.4
58,6.7
59,6.9
60,7.4
61,8.5
62,6.8
63,7.8
64,8.0
65,7.5
66,9.2
67,8.0
68,7.7
69,8.1
70,9.5
71,6.6
72,6.7
73,8.0
74,6.6
75,6.7
76,6.6
77,9.1
78,6.7
79,7.5
80,7.9
81,6.6
82,8.4
83,6.9
84,8.3
85,6.2
86,7.3
87,7.0
88,7.9
89,8.2
90,6.4
91,8.5
92,7.2
93,6.4
94,9.3
95,8.0
96,6.6
97,8.0
98,6.7
99,6.5
100,8.8
101,6.6
102,6.7
103,9.3
104,9.4
105,8.4
106,8.4
107,8.1
108,6.6
109,6.4
110,7.5
111,8.7
112,9.7
113,6.5
114,7.5
115,6.3
116,9.1
117,7.6
118,6.8
119,8.4
120,7.4
121,6.4
122,7.9
123,8.3
124,8.5
125,7.7
126,6.2
127,8.4
128,8.8
129,8.4
130,8.4
131,6.8
132,8.0
133,6.3
134,6.8
135,9.5
136,8.0
137,7.6
138,8.2
139,7.4
140,8.3
141,7.5
142,8.6
143,6.9
144,6.5
145,8.8
146,9.7
147,7.0
148,6.8
149,7.6
150,6.8
151,8.8
152,7.9
153,7.6
154,7.7
155,7.8
156,6.1
157,9.1
158,6.2
159,6.8
160,8.2
161,6.4
162,7.9
163,6.6
164,7.1
165,6.7
166,8.5
167,8.0
168,6.4
169,8.3
170,7.5
171,8.4
172,8.8
173,8.4
174,8.5
175,7.1
176,6.2
177,6.4
178,7.7
179,6.8
180,8.6
181,6.8
182,7.2
183,7.5
184,8.8
185,7.1
186,6.6
187,8.6
188,6.1
189,6.2
190,6.1
191,8.6
192,7.8
193,8.0
194,9.7
195,9.1
196,8.2
197,6.2
198,7.5
199,8.6
200,8.8
201,6.5
202,6.2
203,8.9
204,8.4
205,6.7
206,8.1
207,6.6
208,6.2
209,9.6
210,8.6
211,9.3
212,8.4
213,6.7
214,8.1
215,7.0
216,6.8
217,7.7
218,7.5
219,6.4
220,6.5
221,7.3
222,8.2
223,7.5
224,6.3
225,9.0
226,6.4
227,7.9
228,6.1
229,9.7
230,8.5
231,8.8
232,6.7
233,8.9
234,8.5
235,8.7
236,6.3
237,9.6
238,9.3
239,9.7
240,6.6
241,7.0
242,7.1
243,7.9
244,9.1
245,6.5
246,8.4
247,8.4
248,8.2
249,6.7
