id,price
0,6.0
1,8.5
2,9.6
3,7.9
4,9.0
5,8.1
6,7.0
7,7.0
8,6.4
9,6.8
10,9.5
11,7.4
12,8.4
13,8.3
14,6.5
15,7.1
16,7.8
17,6.3
18,9.3
19,9.1
20,6.8
21,8.9
22,9.4
23,6.7
24,9.2
25,7.3
26,7.2
27,9.7
28,8.2
29,8.5
30,6.9
31,8.4
32,8.3
33,6.3
34,9.8
35,8.6
36,9.2
37,7.7
38,9.6
39,9.7
40,9.1
41,8.5
42,7.2
43,8.4
44,7.5
45,6.4
46,6.2
47,9.6
48,8.9
49,8.6
50,7.5
51,7.0
52,7.9
53,7.8
54,7.0
55,6.7
56,9.0
57,9.5
58,6.8
59,7.0
60,7.4
61,8.5
62,6.9
63,7.8
64,8.0
65,7.5
66,9.3
67,8.0
68,7.7
69,8.1
70,9.5
71,6.5
72,6.6
73,7.9
74,6.5
75,6.7
76,6.8
77,9.0
78,6.8
79,7.4
80,7.9
81,6.5
82,8.3
83,6.8
84,8.2
85,6.4
86,7.3
87,6.9
88,8.0
89,8.2
90,6.3
91,8.5
92,7.3
93,6.6
94,9.3
95,8.0
96,6.6
97,8.0
98,6.8
99,6.5
100,8.8
101,6.6
102,6.8
103,9.3
104,9.5
105,8.4
106,8.4
107,7.9
108,6.5
109,6.7
110,7.4
111,8.8
112,9.7
113,6.4
114,7.5
115,6.4
116,9.1
117,7.6
118,7.1
119,8.5
120,7.4
121,6.4
122,8.0
123,8.4
124,8.4
125,7.7
126,6.2
127,8.5
128,8.7
129,8.4
130,8.4
131,6.7
132,8.0
133,6.3
134,6.7
135,9.4
136,7.9
137,7.7
138,8.2
139,7.4
140,8.3
141,7.4
142,8.7
143,7.0
144,6.4
145,8.8
146,9.7
147,7.0
148,6.9
149,7.6
150,6.8
151,8.7
152,8.0
153,7.5
154,7.6
155,7.7
156,6.2
157,9.1
158,6.2
159,6.7
160,8.2
161,6.3
162,7.8
163,6.4
164,7.1
165,6.8
166,8.4
167,8.0
168,6.3
169,8.2
170,7.5
171,8.3
172,8.8
173,8.5
174,8.6
175,7.1
176,6.1
177,6.4
178,7.7
179,6.8
180,8.6
181,6.8
182,7.1
183,7.4
184,8.6
185,7.2
186,6.5
187,8.6
188,6.0
189,6.2
190,6.1
191,8.7
192,7.8
193,8.0
194,9.7
195,9.0
196,8.3
197,6.2
198,7.6
199,8.6
200,8.8
201,6.5
202,6.1
203,8.9
204,8.4
205,6.6
206,8.1
207,6.5
208,6.3
209,9.6
210,8.6
211,9.2
212,8.4
213,6.7
214,8.1
215,7.0
216,6.9
217,7.7
218,7.4
219,6.3
220,6.6
221,7.2
222,8.2
223,7.4
224,6.0
225,8.9
226,6.4
227,7.9
228,6.1
229,9.7
230,8.3
231,8.6
232,6.6
233,9.0
234,8.5
235,8.8
236,6.3
237,9.5
238,9.2
239,9.6
240,6.7
241,7.1
242,7.2
243,7.9
244,9.2
245,6.4
246,8.3
247,8.3
248,8.2
249,6.8
250,6.5
251,7.8
252,6.3
253,9.5
